Date,Average of t1,Average of t2,Average of t3,Average of t4,Average of t5,Average of t6,Average of t7,Average of t8,Average of t9,Average of t10,Average of t11,Average of t12,Average of t13,Average of t14,Average of t15,Average of t16,Average of t17,Average of t18,Average of t19,Average of t20,Average of t21,Average of t22,Average of t23,Average of t24,Average of t25,Average of t26,Average of t27,Average of t28,Average of t29,Average of t30,Average of t31,Average of t32,Average of t33,Average of t34,Average of t35,Average of t36,Average of t37,Average of t38,Average of t39,Average of t40,Average of t41,Average of t42,Average of t43,Average of t44,Average of t45,Average of t46,Average of t47,Average of t48,Average of t49,Average of t50,Average of t51,Average of t52,Average of t53,Average of t54,Average of t55,Average of t56,Average of t57,Average of t58,Average of t59,Average of t60
1/7/2010,280.9754583,280.6736367,280.4090881,280.3354575,280.5236345,280.6109092,281.4945457,283.0763605,284.858182,283.8918235,282.709997,282.666368,280.0081843,279.946364,279.9418196,280.0209101,279.9772727,279.9645413,280.5818149,281.8736406,282.7972745,282.4745456,282.1363609,282.194544,279.1754539,279.1790938,279.3081804,279.4472712,279.571819,279.7654502,280.0772705,280.5181774,280.5927263,280.5654519,281.0754533,281.7436385,278.6181807,278.4718184,278.6063593,278.7636386,279.0009072,279.3936324,279.7045482,279.4654569,279.1554565,279.0600031,279.6300021,279.9790927,278.0609131,277.8863636,277.9590926,277.9836398,278.0181802,278.2172741,278.4254567,278.320909,278.1409108,277.9354553,278.2381814,278.3136347
1/8/2010,272.2950007,272.3058319,272.3174998,272.3283335,272.3616689,272.3733317,272.8766658,273.7725042,274.7600021,274.1216685,273.3508301,273.3458328,272.1766663,272.2050018,272.2108332,272.1958338,272.1816686,272.1783295,272.4991633,273.1925023,273.6799952,273.3966624,273.0691655,272.9925003,271.9533386,271.9691645,271.9766668,272.018336,272.0558319,272.1074956,272.2091624,272.4541677,272.4975001,272.4008331,272.5266622,272.7791723,271.6250025,271.5450007,271.6208344,271.7399979,271.8466644,271.9458364,271.9933319,271.8708318,271.7308273,271.6875025,271.9525019,272.0666682,271.303332,271.1583303,271.2316666,271.3158366,271.384168,271.3658371,271.3766658,271.2858302,271.2433294,271.1633352,271.3458328,271.3574982
1/9/2010,271.8741709,271.8758341,271.8725001,271.8741633,271.9466654,271.9791667,272.4324977,273.2600021,274.2100016,273.5366694,272.7108332,272.6399994,271.9208374,271.8833338,271.8350016,271.7541631,271.7475026,271.7608287,272.0800044,272.7758382,273.2741648,272.9308319,272.4983292,272.3058294,271.8483327,271.7808329,271.7350032,271.7333323,271.7575022,271.7916692,271.872495,272.1433283,272.2300034,272.0849915,272.0575002,272.1566696,271.6274999,271.4841665,271.5275014,271.6266683,271.7024994,271.7533315,271.7491709,271.6691666,271.5833359,271.5474981,271.6900024,271.7000046,271.3958308,271.196668,271.2441711,271.3208338,271.384168,271.3266729,271.3016663,271.2233302,271.2208252,271.1741689,271.2791697,271.2175064
1/10/2010,272.4646137,272.433075,272.3953857,272.3846177,272.4699965,272.5130803,272.9846168,273.8376911,274.8023095,274.1223074,273.3015348,273.2215388,272.4338449,272.408459,272.3592295,272.2869239,272.2853863,272.2992272,272.626155,273.3392311,273.8638447,273.523076,273.0923086,272.8961487,272.3130728,272.2899968,272.259998,272.2646156,272.2915391,272.3269231,272.4099943,272.704611,272.8161527,272.6892278,272.6538462,272.7576951,272.1107671,272.0200054,272.0638475,272.1553838,272.2307669,272.2830787,272.2961543,272.2576904,272.2107732,272.2015381,272.3469238,272.354619,271.9007686,271.7484624,271.8046147,271.8930758,271.9799992,271.9469252,271.9484629,271.9000009,271.9246169,271.9015386,272.0015376,271.9338449
1/11/2010,273.9025014,273.6008326,273.2908325,273.1341705,273.3141658,273.4049988,274.2833328,275.8841654,277.7325033,276.6508331,275.2925034,275.1183319,273.5250015,273.33417,273.109169,272.8983332,272.8808365,272.9158325,273.5641632,274.9899953,276.0916646,275.612498,274.9316635,274.6391627,273.2141673,273.1250051,273.0199992,272.9458364,272.9725011,273.037501,273.2058334,273.8883311,274.2483342,274.1716715,274.1791636,274.4083328,273.1049983,272.9866638,272.9416606,272.9424998,272.9874954,273.0824992,273.121666,273.1883291,273.2366587,273.3099976,273.5666682,273.6758321,272.9658305,272.8233337,272.7708333,272.7366689,272.734169,272.7166672,272.7366664,272.7249959,272.7816671,272.7649994,272.944163,272.9416656
1/12/2010,277.4208323,277.0541662,276.6750005,276.4141668,276.4058329,276.3675003,277.3275045,279.1508306,281.2699966,280.1899999,278.7341665,278.5674998,276.7791672,276.5141678,276.22833,275.962499,275.9041672,275.9258347,276.6208369,278.177503,279.3583374,278.884997,278.2541656,278.0566661,276.284167,276.1425018,276.0358353,275.9708354,275.9766719,276.0008316,276.1266632,276.8191655,277.1424993,277.0966695,277.293335,277.7366664,276.1108322,275.9683329,275.9391658,275.9625015,275.9883372,276.0141678,275.972496,275.980835,275.9808324,276.0616659,276.4716644,276.684166,275.8816681,275.7674967,275.7250036,275.6741664,275.6241659,275.5483322,275.5266698,275.4841715,275.515007,275.4833323,275.696668,275.6933339
1/13/2010,277.7458318,277.5824992,277.4141668,277.3283386,277.4266688,277.4666672,278.2641678,279.731664,281.4199982,280.3608348,279.024999,278.8466644,277.3758316,277.284167,277.1758321,277.0774994,277.0466639,277.0474955,277.6099981,278.8199946,279.6991679,279.2050018,278.6025009,278.387502,276.9674962,276.8608297,276.8174998,276.8233337,276.8808339,276.9791692,277.1733373,277.6283366,277.7583364,277.6166662,277.7549973,278.0658315,276.531662,276.2641652,276.3275019,276.4550044,276.6091665,276.7958298,276.8883362,276.7008336,276.4833323,276.3808365,276.6666692,276.777504,276.1241633,275.7533315,275.8158366,275.8833338,275.9208323,275.8925044,275.8699977,275.7108332,275.5883331,275.4266663,275.5708338,275.5208333
1/14/2010,281.7216746,281.5099996,281.3158315,281.231664,281.3283285,281.3633347,282.0274989,283.259168,284.6658351,283.7499975,282.6274999,282.4458364,281.1141637,281.0216649,280.9625015,280.9391734,280.9033279,280.8983307,281.3608322,282.346667,283.0241648,282.6249975,282.1924973,282.0924962,280.6141663,280.565834,280.5991643,280.6358312,280.6899974,280.7841644,280.9524994,281.240832,281.2308324,281.0908356,281.355835,281.7375005,280.3699977,280.2016703,280.2291718,280.2708308,280.3666662,280.5566661,280.6491674,280.3641713,280.0541662,279.8999939,280.1741689,280.2225037,280.1166585,279.894165,279.8741684,279.8708318,279.8733368,279.7808355,279.6383286,279.3816681,279.2175039,279.0350037,279.0524953,278.8125025
1/15/2010,284.5333354,284.2216721,283.9441655,283.8233337,283.9358419,283.9800034,284.5658366,285.662501,286.9341685,286.1100057,285.1033376,284.9925028,283.7425028,283.5808385,283.5166702,283.5158361,283.4758352,283.462499,283.8825022,284.7841746,285.4050064,285.0575027,284.6883341,284.6300049,283.1141713,282.974172,283.0516688,283.1391729,283.2041702,283.2983348,283.4691671,283.740003,283.7366664,283.627505,283.9033356,284.2849986,282.7641729,282.4891739,282.574173,282.6850026,282.8175049,283.0166728,283.136673,282.893336,282.6175054,282.4858348,282.7750015,282.8450012,282.3816706,282.0916697,282.1191686,282.1541748,282.1816686,282.1650035,282.1358388,281.9474996,281.8033396,281.6375046,281.6891658,281.4975026
1/16/2010,288.1061519,288.0753855,288.0715402,288.1469257,288.2600004,288.3200073,288.5969238,289.0599999,289.5492319,289.2692355,288.9838492,289.0400015,287.4107666,287.5838459,287.7861539,288.0453867,288.0330811,288.0053852,288.1723069,288.4892296,288.657689,288.6169246,288.6753869,288.8715374,286.8023048,287.0300011,287.2792311,287.5076951,287.6161546,287.7453848,287.9200017,287.9215393,287.7769282,287.7553828,288.1653841,288.6069219,286.4284621,286.5176932,286.6992328,286.8700022,287.0561594,287.3361582,287.6000014,287.3807702,287.114617,287.0130827,287.3892306,287.5646151,286.0576923,286.091534,286.2138461,286.3361535,286.4838445,286.6392306,286.7892292,286.6930777,286.5823106,286.4546133,286.6323101,286.590764
