Date,Salinity R,Tmean_R
1/7/2010,3.2,7.3
1/8/2010,3.5,6.5
1/9/2010,3.9,5.3
1/10/2010,4,4.7
1/11/2010,3.8,4.7
1/12/2010,3.7,5.3
1/13/2010,2.6,5.7
1/14/2010,2.4,5.9
1/15/2010,2.6,6.4
1/16/2010,7.2,7.8
1/17/2010,6.1,8.2
1/18/2010,3.2,8.5
1/19/2010,3,9.3
1/20/2010,3,9.7
1/21/2010,3.3,10.9
1/22/2010,3.4,11.5
1/23/2010,5.3,12.3
1/24/2010,8.2,13.2
1/25/2010,5.1,12.9
1/26/2010,3.4,12.7
1/27/2010,3.2,12.6
1/28/2010,3.5,12.7
1/29/2010,4.2,12.9
1/30/2010,3.9,12.3
1/31/2010,3.1,11.2
2/1/2010,2.7,10.7
2/2/2010,2.7,11.1
2/3/2010,2.7,11.2
2/4/2010,2.7,11.1
2/5/2010,2.9,11.3
2/6/2010,2.8,11.2
2/7/2010,2.6,10.6
2/8/2010,1.8,10.9
2/9/2010,1.7,11.1
2/10/2010,2.5,10.2
2/11/2010,2.4,9.6
2/12/2010,1.2,8.4
2/13/2010,2.1,8
2/14/2010,2.5,8.6
2/15/2010,2.3,8.9
2/16/2010,2.5,8.5
2/17/2010,2.5,8.4
2/18/2010,2,8.8
2/19/2010,1.2,9.1
2/20/2010,1.1,9.4
2/21/2010,1.6,10.1
2/22/2010,2.5,11.1
2/23/2010,2.6,11.3
2/24/2010,2,11.2
2/25/2010,1.4,10.4
2/26/2010,1.3,10.5
2/27/2010,1.3,11.1
2/28/2010,1.5,11.6
3/1/2010,1.5,11.9
3/2/2010,1.5,11.1
3/3/2010,2.2,10.4
3/4/2010,2.1,10.5
3/5/2010,1.9,10.9
3/6/2010,1.7,11.3
3/7/2010,1.6,11.8
3/8/2010,1.3,12.4
3/9/2010,1.5,13.1
3/10/2010,2.5,13.9
3/11/2010,3.9,14.9
3/12/2010,3.5,15.6
3/13/2010,1.7,15.3
3/14/2010,1.7,15.8
3/15/2010,1.6,16.3
3/16/2010,1.3,16
3/17/2010,1.3,15.9
3/18/2010,1.4,15.8
3/19/2010,1.3,16.1
3/20/2010,1.4,16.5
3/21/2010,2.1,15.8
3/22/2010,1.8,13.8
3/23/2010,1.6,14.1
3/24/2010,1.3,15.2
3/25/2010,2.3,15.8
3/26/2010,2.2,16.1
3/27/2010,2.5,17.1
3/28/2010,2.9,17.7
3/29/2010,1.7,17.1
3/30/2010,1.7,17.3
3/31/2010,1.7,17.8
4/1/2010,1.8,18.3
4/2/2010,2.4,19.3
4/3/2010,4.2,19.8
4/4/2010,4.3,20.1
4/5/2010,4.4,20.6
4/6/2010,4.1,21
4/7/2010,4.6,21.9
4/8/2010,4,22.3
4/9/2010,2.7,21.3
4/10/2010,2.9,21.2
4/11/2010,3.3,21.5
4/12/2010,3.3,21.5
4/13/2010,3.4,21.9
4/14/2010,4.1,22
4/15/2010,5.6,22.2
4/16/2010,5.8,22.3
4/17/2010,4.3,22.9
4/18/2010,3.7,23
4/19/2010,3.3,23
4/20/2010,3.2,22.5
4/21/2010,2.9,22.4
4/22/2010,2.7,22.8
4/23/2010,3.5,23.4
4/24/2010,5.1,23.1
4/25/2010,3.1,23.5
4/26/2010,2.4,23.3
4/27/2010,2.4,23.2
4/28/2010,2.7,22.5
4/29/2010,3.2,22.2
4/30/2010,5.7,22.6
5/1/2010,8.3,23
5/2/2010,9.8,23.7
5/3/2010,6.9,24.1
5/4/2010,5.3,24.6
5/5/2010,3.5,25.5
5/6/2010,3.2,26.1
5/7/2010,3.1,26.5
5/8/2010,3.1,26.9
5/9/2010,3.4,25.7
5/10/2010,3.8,25
5/11/2010,4.7,25.5
5/12/2010,5.2,26.1
5/13/2010,6.3,26.5
5/14/2010,7,26.8
5/15/2010,7.3,26.5
5/16/2010,6.5,25.9
5/17/2010,4.6,26
5/18/2010,3.3,26.7
5/19/2010,3.3,27
5/20/2010,3.5,27.3
5/21/2010,3.5,27.5
5/22/2010,3.6,28.3
5/23/2010,3.5,28.7
5/24/2010,3.1,29.3
5/25/2010,3.3,29.2
5/26/2010,4,28.8
5/27/2010,3.7,29.1
5/28/2010,3.2,29.2
5/29/2010,3.2,29.2
5/30/2010,3.6,28.6
5/31/2010,3.4,28.4
6/1/2010,2.9,28.6
6/2/2010,2.9,28.6
6/3/2010,3.5,28.5
6/4/2010,4.3,28.6
6/5/2010,4,28.3
6/6/2010,2.7,28.8
6/7/2010,2.4,29.2
6/8/2010,2.7,29.9
6/9/2010,3.1,30.3
6/10/2010,3.4,30.5
6/11/2010,3.8,30.6
6/12/2010,3.8,30.8
6/13/2010,3.6,31.3
6/14/2010,3.3,31.6
6/15/2010,3.6,31.4
6/16/2010,3.7,31.3
6/17/2010,3.2,31.6
6/18/2010,2.9,31.3
6/19/2010,2.7,31.6
6/20/2010,3,31.5
6/21/2010,3.4,31.5
6/22/2010,5.2,31.2
6/23/2010,6.4,30.6
6/24/2010,6.2,30.7
6/25/2010,6,31.3
6/26/2010,5.6,31.6
6/27/2010,5.9,31.6
6/28/2010,7,31.3
6/29/2010,7,30.1
6/30/2010,8.6,29.1
7/1/2010,8.6,28.7
7/2/2010,6,28.5
7/3/2010,6.5,28.8
7/4/2010,8.5,28.7
7/5/2010,9.5,28.9
7/6/2010,8.6,28.7
7/7/2010,9.5,28.6
7/8/2010,7.4,29.1
7/9/2010,4.4,29.9
7/10/2010,3.7,30.3
7/11/2010,3.9,30.6
7/12/2010,3.8,30.7
7/13/2010,3.4,30.7
7/14/2010,3.3,30.8
7/15/2010,3.2,31
7/16/2010,3.2,31.5
7/17/2010,3.6,30.8
7/18/2010,3.7,30.6
7/19/2010,4.3,30.4
7/20/2010,5.6,30.6
7/21/2010,6.7,30.9
7/22/2010,7.5,31
7/23/2010,7.1,31.3
7/24/2010,5.8,31.2
7/25/2010,7.6,30.9
7/26/2010,7.4,31
7/27/2010,4.7,30.6
7/28/2010,3.4,30.8
7/29/2010,3.1,30.8
7/30/2010,3,31
7/31/2010,3.3,31.6
8/1/2010,3.3,31.9
8/2/2010,3.3,32.5
8/3/2010,3.6,32.4
8/4/2010,3.6,32.1
8/5/2010,4.3,31.6
8/6/2010,4.9,31.8
8/7/2010,5.1,32.1
8/8/2010,4.3,32.3
8/9/2010,5.2,31.9
8/10/2010,7.1,31.5
8/11/2010,8.2,31.3
8/12/2010,10,30.6
