Date,condmax_BB,condmin_BB,condmean_BB,condmax_RIL,condmin_RIL,condmax_EPRC,condmin_EPRC,condmax_R,condmin_R,salmax_R,salmin_R,salmean_R,condmax_GP,condmin_GP,condmean_GP,condmax_4C,condmin_4C,condmean_4C,condmax_NBG,condmin_NBG,condmax_BBSI,condmin_BBSI,condmean_BBSI,condmax_BBB,condmin_BBB,condmean_BBB,condmax_WPR,condmin_WPR,condmax_PascR,condmax_PascR.1,condmean_PascR
1/7/2010,24400,15834,20352,28500,17300,3770,102,6450,5010,3.5,2.7,3.2,35080,19418,25902,2760,2320,2530,13395.6,6485.4,16100,12900,14600,9000,2330,4500,492,65,24500,3390,8390
1/8/2010,27900,15300,22400,23200,4860,440,106,7230,5130,4,2.8,3.5,32579,18360.9,25332,2850,2510,2700,12118.5,6989.7,16100,9630,13700,8780,2200,4910,640,77,29700,4540,13900
1/9/2010,29800,15300,23400,29800,17700,197,109,7660,5890,4.2,3.2,3.9,32678,18659.3,25116,3010,2650,2870,13529.1,6544.1,17100,13000,15000,7680,2550,4450,1040,254,37000,6470,16300
1/10/2010,31800,18000,26700,30800,14600,231,112,7610,6300,4.2,3.4,4,31455,19573,25252,2980,2710,2880,11783.7,5860.7,15500,10200,13800,6860,2230,4230,1150,195,42400,6500,19700
1/11/2010,34900,21600,30300,42600,21000,1570,115,7310,6290,4,3.4,3.8,31426,19729,25235,2710,1700,2190,11343.8,5920.33,14800,7460,11700,10600,2620,5160,1900,311,43200,7140,22400
1/12/2010,34400,23400,31400,37300,10600,3960,121,7390,5690,4.1,3.1,3.7,31543,19637,25252,2300,1800,2050,11005.3,6011.83,14100,8960,12300,12100,2990,6400,1830,374,39700,8330,19000
1/13/2010,36500,21600,31200,42300,25100,4460,263,5960,4350,3.2,2.3,2.6,32339,19420,25149,2380,1930,2200,12314.2,6887.8,15000,12200,13900,14100,4490,8140,3100,391,39700,9860,23600
1/14/2010,37500,21900,30300,44500,26600,6330,628,4870,4040,2.6,2.1,2.4,34021,19732,26084,2450,2380,2430,11619.5,7256.9,15000,13400,14400,14700,4330,8270,12100,593,41600,11400,27000
1/15/2010,33900,25300,29900,44100,38800,14700,1360,7580,4210,4.2,2.2,2.6,33721,20808.4,26725,3960,2440,2840,11562.3,7102.5,14900,14200,14600,13500,6080,9450,21900,1300,41200,16300,30800
1/16/2010,33000,29400,31900,43500,39600,21200,7200,17200,7580,10,4.2,7.2,34719,27454.7,31101,10600,3960,8390,11098.2,6309.8,14900,13900,14200,16600,9050,12900,29600,4180,40700,23200,34800
1/17/2010,32700,22400,29600,41800,22300,8180,4190,17200,6740,10,3.7,6.1,37546,25116.7,31297,9830,6510,8870,10208.5,6652.8,14500,12900,13700,14200,5150,7620,16900,622,35400,10500,17800
1/18/2010,34000,30900,32800,37900,24700,7810,2500,6740,5260,3.7,2.8,3.2,36433,23759,29795,6510,5640,5960,10703,7123.1,14100,12100,13300,11100,3340,6930,1590,657,39000,9010,14900
1/19/2010,34200,22400,31100,39100,31600,6370,1760,5890,5290,3.2,2.8,3,38729,23374,31009,5700,5010,5310,10971.3,7572.9,13700,11900,13000,12000,3720,7260,2050,679,39100,6410,16100
1/20/2010,29600,20800,23200,35800,32400,8960,1520,6120,4870,3.3,2.6,3,35517,18945,25472,5050,4520,4690,10448,6329.63,13400,10900,12800,11700,6490,8810,2550,674,30000,6060,11900
1/21/2010,23600,19300,21500,35600,27500,8200,1070,6910,5670,3.8,3.1,3.3,37087,25317,31212,4520,4040,4330,12377.3,8343.4,12800,11700,12500,10900,2270,6080,1930,599,8000,5180,6110
1/22/2010,34300,11800,20600,34800,17000,11600,1150,9890,5560,5.6,3,3.4,32985,23995,27811,4100,3770,3910,10632.7,7268.12,12500,11100,11800,6970,1370,2850,668,208,11300,3220,5227.9
1/23/2010,28000,13200,21000,34200,21000,18600,1990,14500,5990,8.4,3.2,5.3,32595,23220,27714,5530,3930,4390,11040.4,6248.66,13500,9990,11900,8210,1560,4700,9410,124,32500,3160,16800
1/24/2010,26300,20300,24100,34000,26400,17900,3430,15200,12700,8.9,7.3,8.2,30112,23892,26800,5790,5160,5610,11181.2,6282.65,13200,10900,12300,8320,3490,5660,2280,81,12600,4020,8450
1/25/2010,29000,11500,23100,31100,7460,4140,812,14400,7080,8.3,3.9,5.1,34329,25121.7,29574,5340,4140,4740,10864.1,6835.03,11900,9100,10800,5840,1150,3330,123,65,5830,1349.32,3075.73
1/26/2010,31600,12000,25300,30500,6990,2270,291,7120,5340,3.9,2.9,3.4,30401,19721.3,24720,4290,3700,3890,9828.4,6430.86,11800,7730,9870,5120,703,2700,310,59,5940,763,2825.8
1/27/2010,33200,13100,26300,32500,14300,11300,149,6110,5250,3.3,2.8,3.2,29084,20763,24927,3850,3690,3760,14564.9,6699.4,19200,9440,12800,7100,903,3350,393,55,33400,385,11400
1/28/2010,34300,16800,27400,31400,16200,11400,416,7470,5640,4.1,3,3.5,32388,20841.3,26175,4270,3850,4150,14187.9,7203.5,18900,10300,14300,8900,1240,3810,442,55,32000,916,10600
1/29/2010,30300,20100,24900,31400,25300,16500,456,8640,6460,4.8,3.5,4.2,37391,24256.8,30742,4840,4260,4610,15015.3,7670.5,20000,16900,18500,11700,2290,5540,3670,53,32000,1020,14300
1/30/2010,27900,14400,23100,31200,5160,15300,239,8760,5890,4.9,3.2,3.9,32605,21939,26731,4880,4270,4660,14731.3,6024.2,19400,10500,14700,5670,762,2040,1500,55,31000,1130,6320
1/31/2010,27700,9570,16900,20900,11500,691,105,6010,5440,3.3,2.9,3.1,33591,20374.7,25978,4530,4300,4430,14547.7,6701.2,20700,16000,18900,1930,393,745,89,50,6780,936,2990
2/1/2010,25414,11400,17222,30500,20700,343,94,5990,4180,3.2,2.2,2.7,34678,19372,26368,4640,4410,4530,13810.6,6408.9,21100,19100,20000,817,289,535,78,50,5600,1610,3400
2/2/2010,28400,11000,18900,30700,18000,101,82,5830,3530,3.2,1.8,2.7,33214,19172,25540,4820,4640,4770,14832.6,6241.1,22200,16100,18900,603,232,398,78,50,4300,1660,2780
2/3/2010,30300,10600,19500,28000,21900,296,85,5630,4130,3,2.2,2.7,34699,19120,25962,4800,4390,4560,14910.7,6507.2,22600,15200,20800,2030,341,1090,77,52,27700,1810,4320
2/4/2010,27400,12700,20900,26200,21100,20100,85,8200,3530,4.5,1.8,2.7,33812,21257,26910,5080,4580,4830,21762,15515.6,25100,20800,22700,6630,504,3030,4600,54,27800,2060,16500
2/5/2010,27000,12400,20300,25900,12300,14600,173,7480,4170,4.1,2.2,2.9,31734,23213,27232,5040,4910,4980,19513,12824.6,23200,15700,20300,2020,98,517,2740,56,18500,1830,6240
2/6/2010,27900,3400,14600,14200,6620,281,70,5310,5000,2.9,2.7,2.8,33923,20971,26393,4940,3180,4030,10808.1,6517.83,15700,8150,11900,293,38,123,60,52,3930,893,1990
2/7/2010,28300,5430,15400,18900,7230,79,67,5180,3690,2.8,1.9,2.6,32757,20432,26049,3300,2770,3040,16628.7,6907.4,19700,11900,15800,143,42,125,137,44,26400,923,4620
2/8/2010,26000,5960,17200,24600,11600,1960,60,4280,1820,2.3,0.9,1.8,32214,18985,25469,3260,2980,3110,18830,12419.8,19700,17000,18000,661,80,213,160,38,23200,1070,6910
2/9/2010,24500,11300,17400,24900,8390,1470,52,4590,1820,2.4,0.9,1.7,32029,18974.6,25038,3400,3260,3340,14525.1,6209.7,19000,13500,16500,432,69,181,44,35,7210,602,1770
