Date,r40,r41,r42,r57,r58,r59,r60,r75,r76,r77,r78,r92,r93,r94,r95,r96,r111,r112,r113,r114,r130,r131,r132,r133,r134,r149,r150,r151,r152,r153,r168,r169,r170,r171,r172,r187,r188,r189,r190,r191,r205,r206,r207,r208,r209
1/1/2004,0,0,0,0.0352,0.0228,0,0,0,0.0256,0,0.0928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0808
1/2/2004,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004
1/3/2004,0,0,0,0.035,0.0226,0,0,0,0.0268,0.0266,0.0744,0.0552,0,0.032,0.0294,0.03,0,0,0.185593,0.204803,0.176804,0.211197,0.192795,0.207993,0,0.161606,0.246399,0.313599,0.287201,0.261597,0.184799,0.300003,0.569595,0.334396,0.242401,0.412003,0.288803,0.05,0.289597,0.196793,0.283997,0.255203,0.231995,0.192795,0.0884
1/4/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0.0312,0,0,0,0,0,0,0.0296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844
1/5/2004,0,0,0,0.0033,0,0,0,0,0.00293,0,0,0,0,0.00793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275
1/6/2004,0,0,0,0.0284,0,0,0,0,0.024,0,0,0.1277157,0,0.0709,0,0,0.0588,0.0314,0.0631,0.0983,0,0.0418,0.0388,0,0.0296,0,0,0,0,0,0,0,0,0,0,0,0,0.0502,0,0.0316,0,0,0,0.0296,0.0571
1/7/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196,0,0,0.0268,0.0186,0.0234,0.034,0.0306,0
1/8/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246,0.0278,0.0406,0.058,0.0394,0,0,0.027,0.0344,0.0362,0.0334,0,0.0234,0,0.0298,0,0,0,0,0,0,0,0,0,0,0
1/9/2004,0.96643015,1.2712101,1.2384647,0.864806,0.67401106,0.7760012,0.42700227,1.65214571,0.7669673,0.7065426,2.583499,0,2.55328897,1.661866,2.00537155,1.414307281,9.3342715,12.30449353,0,0,0,0,0,0,12.192381,0,0,0,0,0,0,0,0,0,0,0,0,6.455747,0,0,0,0,0,0,0.627808
1/10/2004,0.1306915,0.0418,0.0167,0.0024,0.000198,0.0482,0.0167,0.1252976,0.0475,0.0822,0,1.2402879,0.0567,0,0.0027,0.0775,0.3162004,0.0524,0.8938942,1.3339883,0.506196,0.368592,0.5038001,0.423294,0.1366959,0.0958,0.0602,0.164795,0.566192,0.758408,0.0436,0.0522,0.329406,0.513398,0.740204,0.0746,0.439392,0.17879876,0.492402,0.38321,0.311798,0.316986,0.373992,0.0232,0.2210083
