Date,Average of pres0,Average of pres1,Average of pres2,Average of pres3,Average of pres4,Average of pres5,Average of pres6,Average of pres7,Average of pres8,Average of pres9,Average of pres10,Average of pres11,Average of pres12,Average of pres13,Average of pres14,Average of pres15,Average of pres16,Average of pres17,Average of pres18,Average of pres19,Average of pres20,Average of pres21,Average of pres22,Average of pres23,Average of pres24,Average of pres25,Average of pres26,Average of pres27,Average of pres28,Average of pres29,Average of pres30,Average of pres31,Average of pres32,Average of pres33,Average of pres34,Average of pres35
1/1/2004,102670.513,102664.0517,102644.4851,102617.2705,102673.3467,102668.7764,102638.8478,102590.4825,102672.6146,102669.2016,102662.9844,102628.1499,102667.2809,102639.8534,102608.9803,102600.2054,102629.6436,102588.9881,102563.8151,102552.753,102561.7124,102538.7638,102458.1243,102458.154,102457.362,102424.965,102410.247,102402.077,102458.1544,102310.7109,102271.8229,102301.6596,102484.9427,102314.0316,102236.0744,102229.795
1/2/2004,102538.6406,102533.9378,102511.3706,102475.3359,102537.4725,102535.6627,102509.784,102453.1579,102532.4626,102536.9993,102541.7575,102501.1311,102519.7466,102504.3869,102489.0265,102483.3505,102487.0228,102454.6875,102442.5017,102441.7232,102431.6206,102410.251,102338.9885,102344.6644,102336.7626,102300.2269,102287.5656,102281.945,102334.2021,102184.5537,102145.4847,102176.2048,102356.2405,102186.8628,102113.9032,102108.7001
1/3/2004,102239.0129,102234.6918,102211.7477,102172.1645,102236.7723,102238.4375,102212.3246,102151.3012,102228.6125,102232.9004,102235.0121,102194.4688,102215.8117,102196.6117,102176.3559,102171.3969,102188.709,102150.1484,102133.1883,102126.725,102136.8051,102110.8844,102034.1813,102034.1496,102041.9875,102004.3883,101988.6766,101981.3164,102039.1406,101889.7008,101850.4992,101882.8523,102060.068,101891.1727,101818.2453,101813.3813
1/4/2004,102034.2057,102032.1629,102015.3404,101990.1979,102026.8906,102029.0539,102008.8493,101964.9334,102027.1652,102034.3583,102039.4174,102008.0874,102025.4888,102009.4289,101990.3199,101986.144,101997.4208,101961.0926,101944.6659,101940.551,101938.3266,101915.013,101841.5655,101846.5636,101841.4442,101807.6756,101797.4368,101795.4855,101845.3445,101699.5763,101663.9803,101699.8512,101873.6269,101705.4286,101631.9193,101628.5368
1/5/2004,101989.483,101991.5195,101972.0874,101935.0249,101982.8803,101988.7571,101964.5241,101906.3714,101971.5636,101976.0721,101975.8391,101938.4588,101958.0657,101936.0721,101910.4723,101905.7024,101922.2251,101886.8509,101866.6325,101858.5167,101861.3672,101842.8363,101765.2514,101765.1051,101762.1388,101732.4364,101717.4837,101708.5224,101761.9925,101617.5852,101579.2433,101608.0146,101788.3494,101619.2727,101544.1012,101534.2979
1/6/2004,102064.9092,102061.8304,102040.5275,102006.3337,102066.3724,102064.513,102036.0778,101983.2928,102060.9159,102060.7336,102058.5696,102024.1008,102049.4874,102026.2958,102001.548,101995.9412,102017.3043,101980.1239,101959.0949,101949.1603,101963.2094,101940.1391,101860.048,101856.3906,101869.1295,101831.6741,101811.622,101797.7236,101864.375,101714.3713,101671.766,101695.2619,101884.0022,101713.9144,101636.8702,101624.4364
1/7/2004,102555.7449,102542.1117,102515.6809,102479.0086,102577.3441,102565.0563,102527.809,102468.7039,102581.1539,102574.0484,102568.609,102526.3043,102572.4164,102546.6242,102522.3363,102512.4801,102551.9363,102506.8805,102482.9125,102468.1289,102509.6637,102477.4086,102388.7047,102378.8801,102424.8953,102387.3926,102363.5523,102343.3598,102444.2242,102292.8961,102249.1211,102265.1527,102486.2402,102311.5848,102229.7605,102203.9688
1/8/2004,102600.6102,102594.4803,102568.7113,102526.6743,102599.3306,102597.1423,102569.3524,102510.0687,102602.868,102605.1583,102605.1583,102564.5687,102603.3067,102581.815,102556.9905,102546.6147,102575.213,102536.7118,102513.5374,102502.1859,102516.2989,102495.7858,102411.676,102408.0724,102418.6151,102391.8359,102373.7808,102358.354,102433.4038,102287.0789,102246.287,102266.4305,102475.845,102300.5855,102221.6299,102203.0025
1/9/2004,102070.3664,102069.6652,102056.2563,102037.9085,102073.1083,102073.7191,102050.5257,102010.9676,102074.4498,102077.2827,102077.6492,102049.3069,102071.4944,102050.6789,102025.994,102020.9643,102032.2708,101995.4256,101976.5911,101972.9334,101959.157,101938.2217,101865.231,101873.2467,101851.6391,101821.3155,101811.7448,101806.7772,101855.6912,101709.3151,101671.433,101700.1112,101886.2906,101714.2217,101636.6291,101625.1094
1/10/2004,101826.2496,101819.5007,101792.4155,101743.5739,101829.1875,101829.5362,101798.8743,101729.5227,101824.0376,101824.1254,101820.4602,101777.0266,101815.4268,101789.7404,101761.2021,101750.7287,101789.9141,101747.7621,101721.6967,101705.7259,101736.8519,101714.5114,101626.6854,101616.62,101640.5323,101612.7212,101590.5835,101573.0703,101648.2131,101503.0781,101462.1175,101484.0238,101683.2376,101510.5838,101430.6417,101407.9506
1/11/2004,102646.5279,102627.8556,102597.2751,102555.8978,102667.3404,102650.7011,102606.5965,102542.4582,102673.2965,102657.9086,102640.7683,102594.8268,102670.3468,102632.1413,102591.571,102573.5119,102639.2653,102587.5635,102551.1396,102527.4042,102582.4997,102547.216,102450.27,102435.3835,102488.5584,102446.2075,102416.5455,102388.0224,102501.2194,102344.587,102294.6382,102299.7585,102536.0571,102356.7741,102270.569,102231.6967
1/12/2004,102854.9036,102851.5208,102831.4364,102799.4974,102869.2574,102865.6615,102834.6362,102779.9323,102864.718,102863.4364,102862.2176,102825.3419,102848.8069,102826.5915,102804.9528,102800.2593,102819.4892,102780.6027,102761.6767,102752.7775,102770.9103,102744.1838,102661.6529,102657.6317,102679.0565,102638.7965,102617.6146,102602.3776,102679.8787,102524.0532,102479.6804,102502.4156,102704.7779,102527.5897,102445.8824,102428.2061
