Date,Average of solaSW0,Average of solaSW1,Average of solaSW2,Average of solaSW3,Average of solaSW4,Average of solaSW5,Average of solaSW6,Average of solaSW7,Average of solaSW8,Average of solaSW9,Average of solaSW10,Average of solaSW11,Average of solaSW12,Average of solaSW13,Average of solaSW14,Average of solaSW15,Average of solaSW16,Average of solaSW17,Average of solaSW18,Average of solaSW19,Average of solaSW20,Average of solaSW21,Average of solaSW22,Average of solaSW23,Average of solaSW24,Average of solaSW25,Average of solaSW26,Average of solaSW27,Average of solaSW28,Average of solaSW29,Average of solaSW30,Average of solaSW31,Average of solaSW32,Average of solaSW33,Average of solaSW34,Average of solaSW35
1/1/2004,210.2874767,210.7168129,209.353193,186.8198569,208.416622,208.4912858,203.2834756,179.8051907,205.7979511,201.4501419,194.560807,171.0615707,189.4017654,180.7442365,172.0392867,164.9051913,182.6331914,176.2829049,170.0598588,165.7408091,175.6141448,169.2310936,164.955856,163.2920496,171.8029062,167.4851913,164.9434745,160.2430965,172.7569998,169.9880502,166.8773811,160.3449987,172.2838596,170.5996671,167.2838553,158.5006183
1/2/2004,168.5185215,168.5324339,166.2583472,147.8451309,167.3973037,166.0630433,161.135568,144.3249552,165.9938245,161.3527832,155.2293015,139.0851311,153.7180003,146.1969558,138.7221739,133.6324334,147.7496527,142.0063473,136.5974771,133.3726077,141.1152161,135.1499992,131.910001,130.8472167,137.2140015,132.5560857,130.1228707,125.9689583,136.7136519,133.5527845,130.3786946,124.2016525,134.7023471,133.109303,130.6856534,122.99052
1/3/2004,176.3152512,181.6880516,182.9072506,165.2656494,176.9260498,181.1176506,181.6000504,164.8468506,177.7828514,179.3260498,179.8080513,163.6460518,165.8604492,164.3160473,163.2480492,161.7200493,164.8336472,163.5612514,161.9760532,160.920047,162.344051,162.5388489,160.4780533,159.4248528,159.6548515,161.080051,160.3872494,159.6912483,158.9896477,159.1688488,158.9564499,159.9892506,159.5744488,158.5176495,157.9180511,158.6292492
1/4/2004,193.8038534,200.7368073,201.4402379,178.7935722,190.3882385,196.8903325,198.640811,178.2029045,191.6649976,195.3253806,196.7918567,177.6109031,180.6181401,179.8587138,178.5990971,175.8950929,178.8886206,179.5230974,177.8912869,176.0116653,177.3379542,178.3105207,175.7990948,174.2644279,177.0768087,177.4507148,176.3577576,174.63814,176.656622,176.0276664,175.4270957,175.3368087,177.0059535,175.6021398,174.111286,173.1147127
1/5/2004,172.0541344,174.2094082,176.5812274,163.6986833,170.4861343,173.1774084,174.6550459,163.0574102,170.8115921,173.2370449,174.9924982,162.4470465,160.1299522,159.9365002,160.958864,160.7692292,158.6214097,158.8830466,159.2815916,159.6239548,156.4854067,157.2246805,156.6783173,157.0988641,154.5728642,155.5819539,155.9177718,155.2141384,153.8503189,153.8132269,153.8285013,154.250137,154.3450453,153.36159,152.9919552,153.2730463
1/6/2004,216.3791878,218.0475707,218.3915718,198.0689014,212.1673769,215.0894754,215.6075723,197.3191903,211.650238,213.7911911,215.0660466,196.6889049,196.8839544,196.1108115,196.2929008,194.6729028,194.3117614,194.993668,194.6555703,194.3264276,192.6576658,193.6148108,192.1890953,191.8220484,191.6835705,192.4153813,191.9243349,190.7529039,191.0102368,190.5930935,190.1759484,190.3546164,191.2839537,189.9921446,189.2157636,188.7898556
1/7/2004,187.2887978,186.5516006,184.5100021,164.5231964,188.0192009,188.0223991,185.8396004,168.0744011,187.8735992,188.1220001,188.443998,172.0279976,173.8419975,173.138398,173.9507996,172.9339981,171.7367989,172.1919975,172.7308006,172.832,171.073999,171.2632011,170.4611969,170.1995987,170.6359993,171.1203979,170.3748024,168.9856003,170.2712013,169.7371986,169.3615997,168.8227997,171.0691963,170.2,169.1435982,168.3391991
1/8/2004,172.9373691,177.8274745,175.1453697,148.6249438,165.7104187,172.1752657,171.6262119,146.087685,158.6750528,161.0603148,161.0939982,141.0438963,141.8809469,139.8767371,138.1449464,136.1811572,139.0224216,139.6156857,138.4758959,136.4417925,136.8287354,140.9554732,138.1777906,135.9521051,133.0127379,139.9542108,139.701579,138.8632636,134.0190518,137.143684,138.4325256,140.5634742,137.9803154,137.6451585,138.3255792,140.2262115
1/9/2004,135.8971416,142.1116217,147.8129501,141.9691445,129.1836185,132.9112393,135.5158103,132.0613327,124.9036182,126.7230457,127.3878087,121.7302871,112.4091426,111.6045714,111.3531418,113.5615253,108.5348569,108.8407633,109.3588577,110.3847613,104.325333,105.9207604,106.5062863,107.9230477,99.54895238,101.7165709,102.8224745,103.8784757,96.47885749,96.92076184,97.49219113,99.69942874,94.90514337,93.6403805,92.23771449,91.81257012
1/10/2004,191.3314063,192.4428621,193.4492267,177.754862,189.2688616,190.0921333,189.3670474,175.8252269,187.1219548,187.4177749,187.5686833,173.32559,170.775409,169.3941342,169.6817724,169.5312288,167.8586835,167.4017698,167.7675923,168.4123181,166.4366826,166.1872274,165.54941,166.0297765,164.4923175,164.5348643,164.4868653,164.1352255,163.0639537,162.5535889,162.0448626,162.5301392,161.8443191,160.8526819,160.2694085,159.9421387
