Date,Average of T0,Average of T1,Average of T2,Average of T3,Average of T4,Average of T5,Average of T6,Average of T7,Average of T8,Average of T9,Average of T10,Average of T11,Average of T12,Average of T13,Average of T14,Average of T15,Average of T16,Average of T17,Average of T18,Average of T19,Average of T20,Average of T21,Average of T22,Average of T23,Average of T24,Average of T25,Average of T26,Average of T27,Average of T28,Average of T29,Average of T30,Average of T31,Average of T32,Average of T33,Average of T34,Average of T35
1/1/2004,21.52761695,21.6433338,21.63571603,21.50857399,21.31761678,21.42761957,21.42095366,21.29761759,21.14047677,21.13381086,21.04524013,21.01571074,21.05905006,20.92666771,20.74381365,20.74190994,20.98285493,20.91523961,20.77047439,20.6328561,20.89666457,20.93999953,20.76428368,20.65762038,20.76952398,20.84095401,20.80333455,20.81904965,20.72333345,20.68381319,20.70428321,20.85476249,20.73142642,20.65142822,20.68999953,20.86904762
1/2/2004,21.52521813,21.66087142,21.65826416,21.52608988,21.42826113,21.54087233,21.52565334,21.38913229,21.40739242,21.38478155,21.26391204,21.20261018,21.50174083,21.33695785,21.08609009,20.98695573,21.45870043,21.33434661,21.11565101,20.92173833,21.39217344,21.3126088,21.08913256,20.93217137,21.38260816,21.30521824,21.16956761,21.00347635,21.4408702,21.33565223,21.23825869,21.0691263,21.48173855,21.37738966,21.30565079,21.09043818
1/3/2004,21.7875,22.04200134,22.23149872,22.43450165,21.69099884,21.93000031,22.12099915,22.32350006,21.8730011,22.01750183,22.0565033,22.20800171,22.22249603,22.21800385,22.08500214,22.04900208,22.26800385,22.25299835,22.09450073,21.96100159,22.23650208,22.21800232,22.05100098,21.94149933,22.32000275,22.21950073,22.10049896,21.93849792,22.38799744,22.27050018,22.16600342,21.96500244,22.42800293,22.33849945,22.25449982,22.01350098
1/4/2004,21.74666777,22.02095104,22.31095232,22.719045,21.59428333,21.91333734,22.27714175,22.70095244,22.00714402,22.30857195,22.50857399,22.77571324,22.65380714,22.81523641,22.80856759,22.79333205,22.81809053,22.95095099,22.83571225,22.71809751,22.86476063,22.99666922,22.83904739,22.72428676,23.06285894,23.04523722,22.95142909,22.82000006,23.17666626,23.11238025,23.04666864,22.91381109,23.2919079,23.19523984,23.10428438,22.85237921
1/5/2004,21.4568204,21.63545782,21.8131811,22.05227245,21.31090892,21.52136508,21.78272872,22.04045382,21.41636242,21.67908963,21.93454118,22.12454224,21.58273038,21.8250025,22.04590815,22.17409307,21.79272461,22.04591092,22.12818354,22.11499994,22.04318099,22.40045305,22.30545738,22.18681474,22.21408913,22.5554546,22.53818443,22.51863514,22.40636375,22.54726895,22.62499861,22.73136208,22.73363703,22.69500039,22.72227062,22.79772672
1/6/2004,21.50380743,21.68809437,21.86809576,22.10619391,21.32333229,21.52476429,21.69952247,21.9257144,21.3257112,21.47095453,21.55000378,21.72619193,21.43904477,21.48333304,21.45904541,21.54714239,21.37809681,21.47000122,21.43761771,21.41523815,21.20047724,21.43857102,21.37857056,21.37761725,20.99000331,21.21857271,21.27524094,21.37619164,20.89952596,20.93952288,21.0157151,21.24809774,20.93285697,20.8352385,20.82714262,21.03190395
1/7/2004,17.08949585,17.19899902,17.25749969,17.33750153,16.65499878,16.70700073,16.67300262,16.74149933,16.06350098,16.00900116,15.91049957,16.01699829,15.48400116,15.34600067,15.24200134,15.43250122,15.06600189,14.93799896,15.03849792,15.24399872,14.58800049,14.47449951,14.68149872,15.00250244,14.03999634,13.98400116,14.21450043,14.52700043,13.74250183,13.59849854,13.66900024,14.01699829,13.47949677,13.33999634,13.33950043,13.65950012
1/8/2004,17.71104993,17.73999987,17.67526406,17.54210301,17.31263171,17.25105366,17.01210424,16.84157843,16.43421213,16.19263177,15.90789152,15.8905222,15.49789429,15.16894852,14.92526566,15.11473646,14.97315577,14.67210468,14.72210533,14.88947336,14.44894409,14.16736804,14.34421258,14.65473536,13.77368325,13.60263062,13.82947259,14.2010498,13.33842067,13.11315918,13.1836853,13.6515776,12.90789474,12.77262959,12.81579108,13.28684275
1/9/2004,20.68333944,20.65142968,20.44190616,20.00142851,20.4995248,20.40761748,20.08285668,19.61904617,19.9252392,19.62666393,19.25238037,19.02714175,19.34047735,18.92000035,18.52190436,18.49523635,18.98857335,18.63619269,18.45428612,18.35666475,18.69714501,18.35142735,18.25095186,18.2871428,18.37999762,18.14143008,18.1657119,18.27000355,18.26857503,18.05142939,18.03190395,18.19381133,18.09428624,17.97476051,17.91523525,18.02952358
1/10/2004,19.23908997,19.27817882,19.14863448,18.84954557,18.95500044,18.91682018,18.6804546,18.35091053,18.36181641,18.13454507,17.83090626,17.67136036,17.77863797,17.42681607,17.09545482,17.1104556,17.44000105,17.17136175,17.03409091,16.9654541,17.11863986,16.94045466,16.860002,16.88727639,16.71136197,16.64863309,16.67772744,16.77318087,16.5213623,16.39136158,16.39272378,16.57454473,16.35318271,16.21999983,16.19636397,16.35545488
