Date,Average of uwind0,Average of uwind1,Average of uwind2,Average of uwind3,Average of uwind4,Average of uwind5,Average of uwind6,Average of uwind7,Average of uwind8,Average of uwind9,Average of uwind10,Average of uwind11,Average of uwind12,Average of uwind13,Average of uwind14,Average of uwind15,Average of uwind16,Average of uwind17,Average of uwind18,Average of uwind19,Average of uwind20,Average of uwind21,Average of uwind22,Average of uwind23,Average of uwind24,Average of uwind25,Average of uwind26,Average of uwind27,Average of uwind28,Average of uwind29,Average of uwind30,Average of uwind31,Average of uwind32,Average of uwind33,Average of uwind34,Average of uwind35
1/1/2004,-1.937142845,-1.674761903,-1.559523786,-1.51428572,-1.669523828,-1.515714271,-1.425238097,-1.448095238,-1.57142858,-1.460000012,-1.340000001,-1.381428563,-1.534285703,-1.415238094,-1.324285718,-1.44285714,-1.468095244,-1.503809515,-1.569047635,-1.71476189,-1.491904763,-1.529999985,-1.708571426,-1.908571428,-1.544761887,-1.498571428,-1.583809511,-1.656190478,-1.550952386,-1.495238102,-1.473333341,-1.470952382,-1.565238093,-1.510476188,-1.478095247,-1.54714286
1/2/2004,-2.525652185,-2.275652174,-2.145652166,-2.090869583,-2.197391308,-2.070434754,-2.00869565,-1.996086939,-1.951739129,-1.894782611,-1.862608707,-1.878695663,-1.717391311,-1.691739133,-1.729130421,-1.866521755,-1.614347828,-1.66608698,-1.815652171,-2.009999975,-1.607391307,-1.63521739,-1.848260895,-2.059130425,-1.573913044,-1.595652162,-1.71869565,-1.80956521,-1.483478268,-1.55565216,-1.629130443,-1.636956518,-1.354347833,-1.503043456,-1.640869594,-1.68347827
1/3/2004,-2.816499993,-2.691499989,-2.635000008,-2.579000007,-2.452999993,-2.435000008,-2.485999997,-2.465999983,-2.129999997,-2.222999988,-2.370499998,-2.395999996,-1.780999998,-1.93949998,-2.203499976,-2.475000024,-1.677500001,-1.833500004,-2.233999985,-2.690999985,-1.651000005,-1.712500006,-2.193000001,-2.667000008,-1.582,-1.694000003,-2.023499972,-2.275999987,-1.513000015,-1.747500004,-1.986999997,-2.052499995,-1.338000009,-1.742000014,-2.098000005,-2.201499999
1/4/2004,-2.7257143,-2.550476196,-2.454761921,-2.390476196,-2.384761902,-2.307142856,-2.289523806,-2.271428583,-2.11904761,-2.118571432,-2.149047648,-2.16571428,-1.857619054,-1.893333329,-2.011904769,-2.234285722,-1.751904771,-1.863809544,-2.146666667,-2.505714275,-1.709523795,-1.799523818,-2.188571431,-2.574761914,-1.62619047,-1.736666676,-1.985238111,-2.163333323,-1.53571429,-1.704285736,-1.863809527,-1.88904763,-1.392857139,-1.681904759,-1.94857145,-2.06857145
1/5/2004,-1.96818181,-1.674090941,-1.524999996,-1.475909094,-1.746818206,-1.527727287,-1.38090909,-1.245909078,-1.383636356,-1.270909072,-1.241363641,-1.054545436,-0.91181819,-0.909090909,-1.001818188,-0.96636362,-0.77227274,-0.726818186,-0.788636359,-0.794090916,-0.873636369,-0.666818174,-0.648181813,-0.565454545,-0.90954545,-0.566818187,-0.416818174,-0.317272739,-0.667727274,-0.358636362,-0.149090915,-0.059545445,-0.399090899,-0.175909089,-0.024999999,-0.097727265
1/6/2004,0.836190487,0.994761906,1.051904767,1.059047618,0.914761897,1.020952377,1.087142865,1.113809533,0.976190481,1.044761904,1.097619042,1.146666673,1.04523808,1.090000005,1.117142856,1.143333326,1.06285713,1.101904754,1.132380952,1.172380953,0.989523803,1.093809524,1.137142854,1.180476185,0.892857141,1.054285712,1.109047627,1.125714272,0.85285714,1.002380953,1.089047616,1.089047613,0.824761893,0.97333334,1.092857142,1.08666666
1/7/2004,-2.579000001,-2.198000019,-2.015500012,-2.01500003,-2.541999984,-2.24299999,-1.985499996,-1.93100001,-2.445000008,-2.149499992,-1.8595,-1.747500008,-2.330499999,-2.052000007,-1.763500012,-1.519499996,-2.237000003,-2.052000003,-1.681499994,-1.239000001,-2.386500008,-2.155999992,-1.685999991,-1.199499988,-2.573500023,-2.154500001,-1.747000021,-1.466000002,-2.447000009,-2.005999998,-1.662999997,-1.567000014,-2.341499997,-1.843499975,-1.418499996,-1.291000003
1/8/2004,-4.758947335,-4.067894747,-3.704210542,-3.647894768,-4.550000012,-3.996315762,-3.527894748,-3.360526342,-4.200000023,-3.689473692,-3.21210528,-2.938421055,-3.786315818,-3.334736855,-2.927368424,-2.588421056,-3.549473709,-3.283157894,-2.807368448,-2.240526331,-3.758421106,-3.410526288,-2.804210525,-2.151578938,-3.980000022,-3.325263177,-2.723684198,-2.296842111,-3.734210524,-3.000000013,-2.420526285,-2.229473654,-3.56210527,-2.749473663,-2.094736827,-2.031578958
1/9/2004,-0.224285698,-0.283809509,-0.301428588,-0.294285753,-0.238095231,-0.257142857,-0.278571458,-0.159999981,0.006666683,-0.076190453,-0.243809521,-0.089047632,0.396666672,0.21142857,-0.049999998,-0.011428573,0.43380951,0.458095227,0.324285735,0.289523817,0.293333315,0.571428584,0.576190487,0.63380952,0.179047636,0.531428537,0.611904767,0.627619038,0.235238084,0.494285718,0.6209524,0.627619052,0.371428593,0.523809513,0.629999997,0.636666695
1/10/2004,1.447272717,1.479090912,1.453181805,1.398181825,1.302727276,1.329090911,1.34500001,1.380909079,1.354545442,1.341818187,1.275000009,1.340454543,1.504999972,1.421363642,1.316818174,1.426363631,1.49318183,1.565000013,1.611363642,1.752727255,1.387272727,1.606818201,1.786363634,1.985909089,1.279090914,1.505454536,1.626818188,1.684090903,1.296818189,1.421363655,1.469545471,1.449090901,1.403181826,1.450454551,1.497272726,1.607727262
1/11/2004,-2.783043467,-2.048695665,-1.684347834,-1.663043461,-2.726086938,-2.131739127,-1.613478261,-1.567826083,-2.729999988,-2.103043466,-1.432173916,-1.281304355,-2.79304351,-2.129130432,-1.398695657,-0.909130427,-2.646521734,-2.293478261,-1.470434769,-0.572173907,-2.810869577,-2.566956508,-1.637391302,-0.708260865,-3.06086958,-2.530869557,-1.786956509,-1.234347814,-2.906521709,-2.226956529,-1.627826067,-1.43782609,-2.885652192,-1.993478281,-1.228260877,-1.007391307
1/12/2004,-3.990000027,-3.299047578,-2.908571433,-2.807619072,-3.660952372,-3.110476216,-2.647619043,-2.529523815,-3.426190513,-2.890952386,-2.337142848,-2.123333329,-3.230952381,-2.690952373,-2.124285695,-1.703809508,-3.015714306,-2.723333318,-2.048571421,-1.272380954,-3.129523827,-2.920952401,-2.102857141,-1.234285709,-3.247142891,-2.746666654,-2.00904761,-1.438571427,-2.970952367,-2.26,-1.607619051,-1.357619041,-2.877142872,-1.944285715,-1.172857137,-1.054761915
1/13/2004,-0.838500005,-0.763499999,-0.707499997,-0.658499996,-0.639000013,-0.593500004,-0.587500018,-0.512,-0.374999994,-0.407000005,-0.500000001,-0.41699999,-0.042000011,-0.147499996,-0.304999995,-0.269000009,0.03900001,0.048499984,0.0055,0.052999993,-0.003999998,0.117999991,0.202,0.349000001,0.025000001,0.191000003,0.320000025,0.418499999,0.248499997,0.373499994,0.465000004,0.523999994,0.50900001,0.568999999,0.611500003,0.649500008
1/14/2004,0.658095248,0.666190472,0.665238088,0.66428571,0.749047616,0.719047614,0.661428575,0.702857146,1.000476178,0.88761904,0.697142848,0.720952372,1.357142859,1.150476204,0.877142863,0.8395238,1.40619046,1.385238111,1.231428577,1.165714295,1.382380958,1.498571429,1.470952378,1.507619045,1.456666677,1.556666647,1.584761885,1.610476187,1.691904763,1.698571425,1.683333315,1.710952378,2.008571426,1.879047638,1.757142856,1.769523814
1/15/2004,3.777368382,3.537894701,3.337368413,3.283684216,3.842631604,3.560526283,3.236842093,3.225789484,4.105789486,3.657894712,3.081578976,2.995263156,4.52736842,3.926842112,3.199473645,2.891052623,4.485789537,4.285263149,3.656842094,3.093684203,4.473684211,4.567894747,4.033157913,3.553684235,4.569473743,4.51789472,4.133684246,3.819999983,4.66894737,4.368947406,4.023684226,3.909473695,4.988421089,4.391052685,3.878947358,3.833157903
1/16/2004,1.344999999,1.353636343,1.318636366,1.268636354,1.193636366,1.203636375,1.215454544,1.197272746,1.125454546,1.139090888,1.143181848,1.131818171,1.08636362,1.086363651,1.099090921,1.174090904,1.051818192,1.108181822,1.199090886,1.331818185,1.005909104,1.098636385,1.247272735,1.390909087,0.933636361,1.011818194,1.086363625,1.122727289,0.885909098,0.921818196,0.932272743,0.909090893,0.876818164,0.894545456,0.919090904,0.995909074
1/17/2004,-3.363636372,-2.911818174,-2.677272707,-2.64409088,-3.288636403,-2.904545456,-2.585454536,-2.455454534,-3.053181805,-2.717727271,-2.427727253,-2.207727263,-2.733181829,-2.470000014,-2.257727265,-2.03545455,-2.575454553,-2.409545438,-2.155909093,-1.845909104,-2.727272738,-2.468636354,-2.130909055,-1.77499999,-2.900454567,-2.475909107,-2.157272728,-1.945909096,-2.778636365,-2.369545451,-2.075454542,-1.996363613,-2.642272741,-2.255909112,-1.952272733,-1.903181806
1/18/2004,0.160909079,0.034090905,-0.029545455,-0.065000006,-0.078636363,-0.11590909,-0.121818169,-0.03636364,-0.071363622,-0.110454535,-0.195454547,-0.051818178,0.049545449,-0.047272721,-0.163636367,-0.043181826,0.01954546,0.077272724,0.085909087,0.169545457,-0.096363637,0.12409089,0.240454542,0.372272715,-0.235909079,0.020000007,0.114545458,0.14454546,-0.318636355,-0.120909086,-0.021818184,-0.040454535,-0.352272723,-0.190454542,-0.057727267,-0.003636361
1/19/2004,2.07421051,1.768947383,1.583157908,1.531578949,1.999473715,1.741578949,1.470526313,1.6368421,2.448947373,2.014210508,1.381052628,1.561052633,3.204210532,2.535789477,1.69631579,1.58578948,3.223684242,3.106315776,2.535263137,2.152105259,3.118947343,3.441578997,3.138947374,2.958421061,3.183684205,3.441052638,3.309473715,3.175789463,3.472105246,3.459999988,3.332105248,3.299473687,3.998421029,3.628421068,3.274736856,3.223157883
1/20/2004,1.42549998,1.225000023,1.099499995,1.065999988,1.386500003,1.203499988,1.025500003,1.0505,1.5295,1.281000005,0.960499998,0.964500004,1.777999994,1.448000003,1.059500004,0.979999988,1.741999983,1.675499985,1.401000002,1.199000011,1.686499997,1.824999993,1.652499989,1.511500001,1.666000011,1.737499995,1.601999995,1.468499981,1.670500018,1.589000006,1.448500002,1.375,1.807000001,1.581000017,1.400499988,1.459500006
1/21/2004,-0.718947356,-0.563157887,-0.470000002,-0.464736848,-0.760526293,-0.603684202,-0.44736842,-0.381578946,-0.713157878,-0.538947378,-0.366315781,-0.246315784,-0.63894738,-0.472631582,-0.277368419,-0.01368421,-0.587368437,-0.421578936,-0.06789474,0.388421054,-0.6536842,-0.493684207,0.009473678,0.541578945,-0.716842102,-0.458947384,-0.056315788,0.246842117,-0.600526331,-0.272631581,0.024736836,0.129473684,-0.545789485,-0.125789473,0.237368412,0.348421061
1/22/2004,1.339473682,1.339473674,1.324736842,1.312631576,1.387894736,1.357368421,1.300526303,1.349999993,1.61736842,1.502631581,1.309999987,1.353684212,1.962105266,1.751052634,1.472631582,1.457368421,1.993684212,1.989473677,1.845263169,1.795789455,1.908421052,2.10578947,2.09684211,2.135789473,1.866842083,2.067894722,2.094210527,2.086842095,1.93999999,2.037894738,2.055789471,2.04368421,2.105789457,2.095263177,2.080526317,2.127368431
1/23/2004,1.506521732,1.342173917,1.235217389,1.226521737,1.63608695,1.439999993,1.22130435,1.2095652,1.854782612,1.557391313,1.183913044,1.108695657,2.157391305,1.772173928,1.325217387,1.179999995,2.151304338,2.043043479,1.73260871,1.513043465,2.169999999,2.213913036,2.029565236,1.895217398,2.279565215,2.200434762,2.052173931,1.939565228,2.399130438,2.182608698,1.978695641,1.927391301,2.63782609,2.266521739,1.960869571,1.996956525
