Date,Average of vwind0,Average of vwind1,Average of vwind2,Average of vwind3,Average of vwind4,Average of vwind5,Average of vwind6,Average of vwind7,Average of vwind8,Average of vwind9,Average of vwind10,Average of vwind11,Average of vwind12,Average of vwind13,Average of vwind14,Average of vwind15,Average of vwind16,Average of vwind17,Average of vwind18,Average of vwind19,Average of vwind20,Average of vwind21,Average of vwind22,Average of vwind23,Average of vwind24,Average of vwind25,Average of vwind26,Average of vwind27,Average of vwind28,Average of vwind29,Average of vwind30,Average of vwind31,Average of vwind32,Average of vwind33,Average of vwind34,Average of vwind35
1/1/2004,-1.282857148,-1.064761892,-0.939047607,-0.896666658,-1.151904757,-0.983333339,-0.849047613,-0.839523815,-1.14333333,-0.972857145,-0.776666676,-0.74714285,-1.189047619,-0.992380943,-0.784285716,-0.715714278,-1.139523818,-1.089047632,-0.940952385,-0.821904759,-1.201428567,-1.165714285,-1.059523821,-0.978095227,-1.354761909,-1.200476198,-1.099523808,-1.044761916,-1.547619041,-1.291904766,-1.095714277,-1.079523812,-1.828095239,-1.429047602,-1.091428575,-1.052857141
1/2/2004,-0.271739136,-0.358695653,-0.39173913,-0.360434785,-0.097391301,-0.203043482,-0.332608694,-0.333043474,0.076521737,-0.099565208,-0.319999998,-0.363478253,0.286956516,0.060869572,-0.211304354,-0.355652178,0.300869584,0.211304348,-0.027826084,-0.239565222,0.261304342,0.321304344,0.121739135,-0.032608693,0.23391304,0.367391301,0.312608692,0.252608692,0.169565221,0.346956524,0.456086959,0.471304346,0.067826085,0.314347823,0.523043476,0.497826089
1/3/2004,0.364999997,0.341500007,0.334000006,0.361,0.530499996,0.470000002,0.383500006,0.372500004,0.648499994,0.531499999,0.388,0.338999998,0.770999987,0.623500006,0.441500005,0.312999999,0.775499991,0.700499984,0.505499997,0.306500001,0.740499996,0.774000005,0.574999999,0.388500003,0.687999989,0.76100001,0.656000006,0.556999997,0.561000002,0.647999996,0.676500001,0.654500004,0.422499992,0.560000004,0.683499996,0.675500001
1/4/2004,2.056190489,1.987142856,1.938571424,1.947619049,2.147619045,2.068571426,1.965714279,1.955238094,2.281428563,2.133809533,1.937142856,1.889047608,2.471904753,2.265238079,1.9938095,1.819523806,2.464761923,2.37809525,2.088095219,1.791428566,2.384761903,2.48857146,2.190476195,1.903333326,2.271904785,2.42952383,2.265714281,2.097142851,2.076666682,2.214761915,2.242380971,2.190952383,1.899523802,2.052857124,2.184285715,2.135714295
1/5/2004,2.002727281,1.858636374,1.770909093,1.760454546,2.01954545,1.892727282,1.765454548,1.818181815,2.229090917,2.035909072,1.771818166,1.804090912,2.545454551,2.26954546,1.932272742,1.867727266,2.557727299,2.511818208,2.290000021,2.149090913,2.549090897,2.647272733,2.541818174,2.479090913,2.605454561,2.62227273,2.549090949,2.483181829,2.617272735,2.56318179,2.487727284,2.454545455,2.693636369,2.569545432,2.469090922,2.480909098
1/6/2004,-1.012380961,-0.703333328,-0.568095231,-0.594761903,-1.20523809,-0.904761909,-0.617142859,-0.593809532,-1.419523802,-1.057142866,-0.652380969,-0.528571429,-1.670952368,-1.266666672,-0.797619058,-0.469047625,-1.667142871,-1.459047617,-0.968095219,-0.473333339,-1.803809518,-1.644761909,-1.147142889,-0.697142862,-2.079047594,-1.762380939,-1.41857141,-1.196190506,-2.245238093,-1.858571434,-1.558571437,-1.524285731,-2.4714286,-1.969047604,-1.547619085,-1.451904774
1/7/2004,-8.031000113,-7.402999997,-7.006500006,-6.900499988,-7.751000047,-7.24749999,-6.805999994,-6.732000065,-7.647000051,-7.114000034,-6.521999979,-6.367500043,-7.641499996,-7.052999973,-6.429500008,-6.157999992,-7.453499961,-7.254500008,-6.725500011,-6.224000025,-7.58949995,-7.475500011,-6.985500026,-6.496499991,-7.828000045,-7.35449996,-6.853000045,-6.481999993,-7.748499966,-7.069500041,-6.492000031,-6.304499996,-7.849499941,-6.962999988,-6.247500014,-6.243499994
1/8/2004,-3.717894755,-3.771578969,-3.71473678,-3.638421066,-3.501052643,-3.538947368,-3.570000018,-3.438947364,-3.145263157,-3.229473672,-3.365789489,-3.226842101,-2.707894739,-2.852631577,-3.062631627,-3.075789461,-2.59526316,-2.627894765,-2.77368424,-2.849473666,-2.618947369,-2.525789468,-2.574210542,-2.535263156,-2.553157904,-2.363684205,-2.257894725,-2.17052631,-2.355263152,-2.115263181,-1.919999986,-1.817894744,-2.200000023,-1.957894745,-1.785263175,-1.875789474
1/9/2004,1.052380969,0.873809521,0.774285705,0.76285714,1.012380951,0.88095238,0.768095239,0.80380952,1.064285725,0.912857129,0.723333322,0.762380958,1.172857151,0.982380944,0.767619051,0.736190478,1.149523815,1.097619057,0.939523813,0.815238095,1.150000002,1.179047644,1.068571431,0.955238083,1.15047618,1.078095219,0.940000005,0.817619059,1.022857135,0.877619051,0.727619044,0.644285721,0.960000001,0.752857138,0.584761893,0.610476179
1/10/2004,-4.750909198,-4.147727387,-3.811818323,-3.768181923,-4.72045464,-4.197727379,-3.72090923,-3.657727372,-4.809091042,-4.216363724,-3.548181921,-3.370000064,-4.990454622,-4.324545579,-3.593181876,-3.213181901,-4.872727374,-4.603181974,-3.944091022,-3.312272833,-5.032272855,-4.87818192,-4.259091,-3.676363745,-5.3300001,-4.862727387,-4.333181924,-3.955909212,-5.363636475,-4.715000111,-4.170000097,-4.025909215,-5.555000121,-4.688181935,-3.972272832,-3.918636452
