Date,"Discharge, cubic feet per second (Mean) USGS 02296750 PEACE RIVER AT SR 70 AT ARCADIA, FL"
1/1/2004,11.3550368
1/2/2004,10.9586016
1/3/2004,10.6188
1/4/2004,10.4205824
1/5/2004,10.0241472
1/6/2004,9.6560288
1/7/2004,9.3728608
1/8/2004,9.2312768
1/9/2004,8.919792
1/10/2004,8.6649408
1/11/2004,8.4667232
1/12/2004,8.4100896
1/13/2004,8.1835552
1/14/2004,8.0136544
1/15/2004,7.9003872
1/16/2004,7.7588032
1/17/2004,7.645536
1/18/2004,8.7498912
1/19/2004,10.8170176
1/20/2004,12.5443424
1/21/2004,12.2894912
1/22/2004,11.4966208
1/23/2004,10.8736512
1/24/2004,10.3922656
1/25/2004,9.9958304
1/26/2004,9.8542464
1/27/2004,9.8259296
1/28/2004,9.8259296
1/29/2004,10.3922656
1/30/2004,11.6948384
1/31/2004,13.5071136
2/1/2004,16.140576
2/2/2004,20.2181952
2/3/2004,22.3419552
2/4/2004,22.511856
2/5/2004,22.0021536
2/6/2004,21.3225504
2/7/2004,19.8500768
2/8/2004,16.6785952
2/9/2004,14.4698848
2/10/2004,13.2522624
2/11/2004,12.6292928
2/12/2004,11.9496896
2/13/2004,11.2984032
2/14/2004,11.0152352
2/15/2004,12.9690944
2/16/2004,16.6785952
2/17/2004,16.5086944
2/18/2004,15.007904
2/19/2004,13.9035488
2/20/2004,13.1106784
2/21/2004,12.4310752
2/22/2004,11.9780064
2/23/2004,11.468304
2/24/2004,10.8170176
2/25/2004,17.556416
2/26/2004,39.077184
2/27/2004,48.704896
2/28/2004,46.156384
2/29/2004,41.05936
3/1/2004,37.944512
3/2/2004,35.962336
3/3/2004,33.696992
3/4/2004,31.14848
3/5/2004,27.6655136
3/6/2004,23.219776
3/7/2004,19.6235424
3/8/2004,17.1882976
3/9/2004,15.3193888
3/10/2004,14.016816
3/11/2004,13.0823616
3/12/2004,12.3744416
3/13/2004,11.4399872
3/14/2004,10.5055328
3/15/2004,10.2506816
3/16/2004,10.6471168
3/17/2004,14.6114688
3/18/2004,25.7966048
3/19/2004,22.936608
3/20/2004,18.0944352
3/21/2004,17.2166144
3/22/2004,17.2449312
3/23/2004,16.99008
3/24/2004,16.5086944
3/25/2004,15.6025568
3/26/2004,13.2239456
3/27/2004,10.901968
3/28/2004,9.7126624
3/29/2004,8.9481088
3/30/2004,8.4100896
3/31/2004,8.0419712
4/1/2004,7.5605856
4/2/2004,7.0508832
4/3/2004,6.5411808
4/4/2004,6.0597952
4/5/2004,5.5500928
4/6/2004,5.1253408
4/7/2004,4.7855392
4/8/2004,4.6439552
4/9/2004,4.530688
4/10/2004,4.4457376
4/11/2004,4.3607872
4/12/2004,4.672272
4/13/2004,5.3518752
4/14/2004,7.503952
4/15/2004,7.503952
4/16/2004,6.5694976
4/17/2004,5.9182112
4/18/2004,5.380192
4/19/2004,5.0120736
4/20/2004,4.7005888
4/21/2004,4.4174208
4/22/2004,4.1625696
4/23/2004,3.9077184
4/24/2004,3.7944512
4/25/2004,3.681184
4/26/2004,3.4829664
4/27/2004,3.398016
4/28/2004,3.2281152
4/29/2004,3.0865312
4/30/2004,3.1431648
5/1/2004,8.8914752
5/2/2004,30.015808
5/3/2004,29.449472
5/4/2004,31.431648
5/5/2004,41.625696
5/6/2004,37.661344
5/7/2004,24.918784
5/8/2004,17.414832
5/9/2004,13.9035488
5/10/2004,11.7797888
5/11/2004,10.194048
5/12/2004,9.0330592
5/13/2004,8.0986048
5/14/2004,7.3057344
5/15/2004,6.7110816
5/16/2004,6.1447456
5/17/2004,5.8898944
5/18/2004,5.7199936
5/19/2004,5.4085088
5/20/2004,5.0687072
5/21/2004,4.9271232
5/22/2004,4.530688
5/23/2004,4.1625696
5/24/2004,3.964352
5/25/2004,3.822768
5/26/2004,3.681184
5/27/2004,3.5962336
5/28/2004,3.5679168
5/29/2004,3.3130656
5/30/2004,3.0582144
5/31/2004,2.8883136
6/1/2004,2.74106624
6/2/2004,2.62779904
6/3/2004,2.62213568
6/4/2004,3.1431648
6/5/2004,3.1431648
6/6/2004,3.0582144
6/7/2004,3.256432
6/8/2004,3.2847488
6/9/2004,3.1714816
6/10/2004,3.5679168
6/11/2004,5.4934592
6/12/2004,8.2968224
6/13/2004,10.1090976
6/14/2004,14.441568
6/15/2004,12.8558272
6/16/2004,13.6770144
6/17/2004,15.7441408
6/18/2004,14.5548352
6/19/2004,12.2894912
6/20/2004,10.5055328
6/21/2004,9.1180096
6/22/2004,8.8065248
6/23/2004,8.4100896
6/24/2004,7.4190016
6/25/2004,6.8809824
6/26/2004,6.4279136
6/27/2004,7.2491008
6/28/2004,8.3817728
6/29/2004,10.3922656
6/30/2004,10.6188
7/1/2004,16.6785952
7/2/2004,12.4877088
7/3/2004,8.8631584
7/4/2004,12.8558272
7/5/2004,16.848496
7/6/2004,15.1211712
7/7/2004,12.884144
7/8/2004,12.1479072
7/9/2004,12.4027584
7/10/2004,11.3550368
7/11/2004,9.9958304
7/12/2004,12.7708768
7/13/2004,14.1017664
7/14/2004,14.6114688
7/15/2004,11.2700864
7/16/2004,9.1746432
7/17/2004,8.0419712
7/18/2004,7.3340512
7/19/2004,7.6738528
7/20/2004,16.5370112
7/21/2004,31.997984
7/22/2004,35.112832
7/23/2004,29.449472
7/24/2004,21.4641344
7/25/2004,16.423744
7/26/2004,13.6486976
7/27/2004,12.600976
7/28/2004,14.1300832
7/29/2004,17.981168
7/30/2004,21.662352
7/31/2004,24.352448
8/1/2004,23.9843296
8/2/2004,21.803936
8/3/2004,27.5522464
8/4/2004,29.73264
8/5/2004,35.396
8/6/2004,45.590048
8/7/2004,44.740544
8/8/2004,50.687072
8/9/2004,52.669248
8/10/2004,54.651424
8/11/2004,57.766272
8/12/2004,59.46528
8/13/2004,57.483104
8/14/2004,62.863296
8/15/2004,79.003872
8/16/2004,111.001856
8/17/2004,129.124608
8/18/2004,140.16816
8/19/2004,144.132512
8/20/2004,149.229536
8/21/2004,157.724576
8/22/2004,169.617632
8/23/2004,173.865152
8/24/2004,176.696832
8/25/2004,177.263168
8/26/2004,172.449312
8/27/2004,164.803776
8/28/2004,158.290912
8/29/2004,150.928544
8/30/2004,143.849344
8/31/2004,138.469152
9/1/2004,139.318656
9/2/2004,132.805792
9/3/2004,133.372128
9/4/2004,137.33648
9/5/2004,142.433504
9/6/2004,162.255264
9/7/2004,182.64336
9/8/2004,209.261152
9/9/2004,274.389792
9/10/2004,382.2768
9/11/2004,407.76192
9/12/2004,376.61344
9/13/2004,328.47488
9/14/2004,294.49472
9/15/2004,269.575936
9/16/2004,251.170016
9/17/2004,235.312608
9/18/2004,223.419552
9/19/2004,212.092832
9/20/2004,201.332448
