Date,"Gage height, feet (Mean) USGS 02296750 PEACE RIVER AT SR 70 AT ARCADIA, FL","Discharge, cubic feet per second (Mean) USGS 02298202 SHELL CREEK NEAR PUNTA GORDA FL","Gage height, feet (Mean) USGS 02298202 SHELL CREEK NEAR PUNTA GORDA FL","Discharge, cubic feet per second (Mean) USGS 02297310 HORSE CREEK AT SR 72 NEAR ARCADIA, FL","Gage height, feet (Mean) USGS 02297310 HORSE CREEK AT SR 72 NEAR ARCADIA, FL","Discharge, cubic feet per second (Mean) USGS 02298123 PRAIRIE CREEK NEAR FORT OGDEN FL","Gage height, feet (Mean) USGS 02298123 PRAIRIE CREEK NEAR FORT OGDEN FL","Discharge, cubic feet per second (Mean) USGS 02297100 JOSHUA CREEK AT NOCATEE FL","Gage height, feet (Mean) USGS 02297100 JOSHUA CREEK AT NOCATEE FL","Discharge, cubic feet per second (Mean) USGS 02296500 CHARLIE CREEK NEAR GARDNER FL","Gage height, feet (Mean) USGS 02296500 CHARLIE CREEK NEAR GARDNER FL","Discharge, cubic feet per second (Mean) USGS 02295637 PEACE RIVER AT US 17 AT ZOLFO SPRINGS, FL","Gage height, feet (Mean) USGS 02295637 PEACE RIVER AT US 17 AT ZOLFO SPRINGS, FL","Discharge, cubic feet per second (Mean) USGS 02295420 PAYNE CREEK NEAR BOWLING GREEN FL","Gage height, feet (Mean) USGS 02295420 PAYNE CREEK NEAR BOWLING GREEN FL","Discharge, cubic feet per second (Mean) USGS 02295013 BOWLEGS CREEK NEAR FORT MEADE FL","Gage height, feet (Mean) USGS 02295013 BOWLEGS CREEK NEAR FORT MEADE FL","Discharge, cubic feet per second (Mean) USGS 02294898 PEACE RIVER AT FORT MEADE FL","Gage height, feet (Mean) USGS 02294898 PEACE RIVER AT FORT MEADE FL","Gage height, feet (Mean) USGS 02294781 PEACE RIVER NEAR HOMELAND FL","Discharge, cubic feet per second (Mean) USGS 02294650 PEACE RIVER AT SR 60 AT BARTOW, FL","Gage height, feet (Mean) USGS 02294650 PEACE RIVER AT SR 60 AT BARTOW, FL","Gage height, feet (Mean) USGS 02293987 PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL","Discharge, cubic feet per second (Mean) USGS 02293987 PEACE CREEK DRAINAGE CANAL NEAR WAHNETA FL"
1/1/2004,0.862584,4.0776192,1.572768,1.76413664,1.045464,20.90928,0.112134528,12.22248,1.609344,3.4829664,1.261872,5.6067264,1.655064,1.89439392,1.100328,0.225684896,0.862584,1.78679008,21.726144,25.182576,1.34787968,1.258824,11.954256,0.55784096
1/2/2004,0.847344,3.822768,1.56972,1.60273088,1.011936,20.36064,0.111001856,11.70432,1.597152,3.2847488,1.228344,5.4934592,1.642872,1.85758208,1.09728,0.219172032,0.859536,1.73865152,21.717,25.170384,1.28558272,1.240536,11.957304,0.57199936
1/3/2004,0.835152,3.6528672,1.566672,1.486632,0.984504,19.78152,0.110152352,11.91768,1.603248,3.114848,1.20396,5.4085088,1.636776,1.83492864,1.094232,0.21379184,0.856488,1.67635456,21.704808,25.152096,1.2459392,1.228344,11.957304,0.57199936
1/4/2004,0.826008,3.5112832,1.566672,1.38469152,0.96012,19.3548,0.109302848,11.21664,1.58496,2.9449472,1.176528,5.238608,1.621536,1.83776032,1.094232,0.208694816,0.850392,1.6140576,21.692616,25.146,1.2459392,1.228344,11.954256,0.55784096
1/5/2004,0.810768,3.3413824,1.563624,1.29124608,0.935736,18.80616,0.108453344,10.72896,1.572768,2.77787808,1.152144,5.0687072,1.606296,1.8547504,1.09728,0.203031456,0.847344,1.61972096,21.692616,25.164288,1.41584,1.28016,11.951208,0.54651424
1/6/2004,0.795528,3.2281152,1.560576,1.22611744,0.920496,19.05,0.10901968,10.39368,1.560576,2.63629408,1.12776,5.0687072,1.606296,1.840592,1.094232,0.196235424,0.844296,1.7556416,21.720048,25.194768,1.35354304,1.258824,11.954256,0.54934592
1/7/2004,0.783336,3.0582144,1.560576,1.11568192,0.890016,17.86128,0.107037504,10.08888,1.55448,2.48338336,1.100328,5.0687072,1.606296,1.82077024,1.094232,0.190855232,0.8382,1.75280992,21.717,25.17648,1.28275104,1.240536,11.942064,0.50687072
1/8/2004,0.77724,2.8599968,1.557528,1.0335632,0.865632,17.34312,0.106188,9.87552,1.548384,2.34463104,1.075944,4.8421728,1.58496,1.73298816,1.085088,0.190005728,0.8382,1.67352288,21.704808,25.16124,1.20629568,1.216152,11.935968,0.48704896
1/9/2004,0.765048,2.74389792,1.55448,0.98825632,0.85344,17.43456,0.106188,9.84504,1.545336,2.23136384,1.057656,4.7005888,1.572768,1.69051296,1.08204,0.186041376,0.835152,1.61688928,21.692616,25.149048,1.1751472,1.207008,11.935968,0.48421728
1/10/2004,0.752856,2.67027424,1.55448,0.95993952,0.844296,16.88592,0.105338496,9.72312,1.542288,2.14358176,1.039368,4.7289056,1.572768,1.71599808,1.085088,0.195952256,0.844296,1.64803776,21.698712,25.149048,1.20912736,1.216152,11.954256,0.54934592
1/11/2004,0.743712,2.5201952,1.551432,0.9061376,0.829056,16.58112,0.105055328,9.41832,1.533144,2.06146304,1.024128,4.7005888,1.572768,1.6706912,1.078992,0.190005728,0.8382,1.59140416,21.68652,25.13076,1.21479072,1.2192,11.94816,0.53518752
1/12/2004,0.740664,2.52869024,1.551432,0.8636624,0.816864,16.48968,0.10477216,9.17448,1.527048,1.99350272,1.011936,4.5590048,1.557528,1.61972096,1.075944,0.182360192,0.835152,1.47813696,21.665184,25.118568,1.21195904,1.216152,11.942064,0.5097024
1/13/2004,0.73152,2.46639328,1.551432,0.83251392,0.80772,16.48968,0.10477216,8.77824,1.514856,1.9255424,0.996696,4.4740544,1.551432,1.628216,1.075944,0.178112672,0.829056,1.47530528,21.665184,25.121616,1.19780064,1.213104,11.935968,0.48988064
1/14/2004,0.725424,2.4210864,1.551432,0.81552384,0.801624,16.88592,0.105621664,8.62584,1.511808,1.86607712,0.984504,4.4174208,1.545336,1.60273088,1.072896,0.17414832,0.829056,1.47530528,21.665184,25.121616,1.18081056,1.207008,11.93292,0.47289056
