Date," Discharge, cubic feet per second (Mean) USGS 02296750 PEACE RIVER AT SR 70 AT ARCADIA, FL","Gage height, feet (Mean) USGS 02296750 PEACE RIVER AT SR 70 AT ARCADIA, FL","Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Minimum), TOP USGS 02297460 PEACE RIVER AT HARBOUR HEIGHTS FL","Temperature, water, degrees Celsius (Maximum), TOP USGS 02297460 PEACE RIVER AT HARBOUR HEIGHTS FL"
1/1/2004,11.3550368,0.862584,6320,21.1
1/2/2004,10.9586016,0.847344,6960,21
1/3/2004,10.6188,0.835152,8360,21.5
1/4/2004,10.4205824,0.826008,8230,22.1
1/5/2004,10.0241472,0.810768,8250,22.5
1/6/2004,9.6560288,0.795528,6440,23.5
1/7/2004,9.3728608,0.783336,5210,22.2
1/8/2004,9.2312768,0.77724,7900,19.5
1/9/2004,8.919792,0.765048,12700,20.3
1/10/2004,8.6649408,0.752856,10000,20
1/11/2004,8.4667232,0.743712,6780,17.8
1/12/2004,8.4100896,0.740664,7700,18.6
1/13/2004,8.1835552,0.73152,10600,18.3
1/14/2004,8.0136544,0.725424,11900,18.3
1/15/2004,7.9003872,0.719328,11600,18.5
1/16/2004,7.7588032,0.713232,9150,19.1
1/17/2004,7.645536,0.707136,8700,18.2
1/18/2004,8.7498912,0.755904,12200,18.7
1/19/2004,10.8170176,0.841248,6370,19.7
1/20/2004,12.5443424,0.908304,3700,19.7
1/21/2004,12.2894912,0.896112,2480,19.8
1/22/2004,11.4966208,0.865632,2710,19.4
1/23/2004,10.8736512,0.844296,2430,19.1
1/24/2004,10.3922656,0.826008,,
1/25/2004,9.9958304,0.80772,,
1/26/2004,9.8542464,0.804672,,
1/27/2004,9.8259296,0.801624,,
1/28/2004,9.8259296,0.801624,,
1/29/2004,10.3922656,0.826008,,
1/30/2004,11.6948384,0.874776,,
1/31/2004,13.5071136,0.94488,,
2/1/2004,16.140576,1.039368,,
2/2/2004,20.2181952,1.176528,,
2/3/2004,22.3419552,1.240536,,
2/4/2004,22.511856,1.246632,,
2/5/2004,22.0021536,1.231392,,
2/6/2004,21.3225504,1.210056,,
2/7/2004,19.8500768,1.164336,,
2/8/2004,16.6785952,1.057656,,
2/9/2004,14.4698848,0.981456,,
2/10/2004,13.2522624,0.935736,,
2/11/2004,12.6292928,0.911352,,
2/12/2004,11.9496896,0.88392,,
2/13/2004,11.2984032,0.859536,,
2/14/2004,11.0152352,0.850392,,
2/15/2004,12.9690944,0.923544,,
2/16/2004,16.6785952,1.057656,,
2/17/2004,16.5086944,1.054608,,
2/18/2004,15.007904,0.999744,,
2/19/2004,13.9035488,0.96012,,
2/20/2004,13.1106784,0.92964,,
2/21/2004,12.4310752,0.902208,,
2/22/2004,11.9780064,0.88392,,
2/23/2004,11.468304,0.865632,,
2/24/2004,10.8170176,0.841248,,23.8
2/25/2004,17.556416,1.075944,,23.9
2/26/2004,39.077184,1.670304,,21.9
2/27/2004,48.704896,1.88976,,21
2/28/2004,46.156384,1.831848,,18.9
2/29/2004,41.05936,1.719072,,19.2
3/1/2004,37.944512,1.648968,,20.1
3/2/2004,35.962336,1.6002,520,21.1
3/3/2004,33.696992,1.548384,381,21.7
3/4/2004,31.14848,1.484376,402,22.7
3/5/2004,27.6655136,1.392936,342,22.8
3/6/2004,23.219776,1.267968,339,24.7
3/7/2004,19.6235424,1.15824,285,26
3/8/2004,17.1882976,1.075944,271,25.2
3/9/2004,15.3193888,1.011936,239,23.7
3/10/2004,14.016816,0.963168,281,22.2
3/11/2004,13.0823616,0.92964,258,22.2
3/12/2004,12.3744416,0.902208,329,22.5
3/13/2004,11.4399872,0.865632,497,22.8
3/14/2004,10.5055328,0.829056,776,21.8
3/15/2004,10.2506816,0.819912,1960,22.2
3/16/2004,10.6471168,0.835152,5670,22.4
3/17/2004,14.6114688,0.978408,5260,24.3
3/18/2004,25.7966048,1.34112,2330,25
3/19/2004,22.936608,1.258824,1960,26
3/20/2004,18.0944352,1.106424,1320,25.4
3/21/2004,17.2166144,1.078992,1540,25.6
3/22/2004,17.2449312,1.078992,1630,25.1
3/23/2004,16.99008,1.069848,782,23
3/24/2004,16.5086944,1.054608,957,21.7
3/25/2004,15.6025568,1.02108,1170,21.4
3/26/2004,13.2239456,0.932688,2210,22.4
3/27/2004,10.901968,0.844296,2900,22.9
3/28/2004,9.7126624,0.798576,4470,23.9
3/29/2004,8.9481088,0.765048,5660,23.4
3/30/2004,8.4100896,0.743712,6700,23.7
3/31/2004,8.0419712,0.725424,10800,24.3
4/1/2004,7.5605856,0.704088,14200,24.1
4/2/2004,7.0508832,0.679704,10100,23.8
4/3/2004,6.5411808,0.65532,11500,24
4/4/2004,6.0597952,0.627888,11300,23.6
4/5/2004,5.5500928,0.603504,10500,24
4/6/2004,5.1253408,0.57912,10300,23.9
